longitude,latitude,code,name,phone,state,city,milesNyc,minNyc,hrNyc,timeNyc,URL,shower,showerIcon,pets,petsIcon,filters
-74.059,40.605,FORW,Staten Island - Gateway National Recreation Area,8.354.4655,NY,Staten Island,1 hour2.47,22,"1 hour, 2 hours, 3 hours",22m,https://www.recreation.gov/camping/campgrounds/234715,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-73.889,40.582,FLOB,Brooklyn - Gateway National Recreation Area,718.354.4655,NY,Brooklyn,11.79,26,"1 hour, 2 hours, 3 hours",26m,https://www.recreation.gov/camping/campgrounds/233309,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-74.887,40.696,VOOR,Voorhees State Park,908.638.6969,NJ,Glen Gardner,32.57,49,"1 hour, 2 hours, 3 hours",49m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=16,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-74.266,40.446,CHEE,Cheesequake State Park,732.566.2161,NJ,South Amboy,36.17,52,"1 hour, 2 hours, 3 hours",52m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=6,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.07,41.229,BEVP,Beaver Pond Campgrounds - Harriman State Park,845.947.2792,NY,Stony Point,37.6,52,"1 hour, 2 hours, 3 hours",52m,https://newyorkstateparks.reserveamerica.com/camping/beaverpondcampsite/r/campgroundDetails.do?contractCode=NY&parkId=392,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-73.896,41.178,CROT,Croton Point Park,,NY,Croton-on-Huds,40.06,56,"1 hour, 2 hours, 3 hours",56m,Call,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.449,40.762,BATT,Battle Row Campground,516.572.8690,NY,Old Bethpage,34.83,57,"1 hour, 2 hours, 3 hours",57m,https://www.nassaucountyny.gov/2811/Battle-Row-Campground,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.59,41.002,MAHL,Mahlon Dickerson Reservation,973.697.3140,NJ,Lake Hopatcong,42.4,60,"1 hour, 2 hours, 3 hours",1 hour,https://www.morrisparks.net/index.php/parks/mahlon-dickerson-reservation,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.939,40.663,SPRU,Spruce Run Recreation Area,908.638.8572,NJ,Clinton,52.59,66,"2 hours, 3 hours",1h 6m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=12,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-74.298,40.197,TURK,Turkey Swamp Park,732.462.7286,NJ,Freehold,51.23,69,"2 hours, 3 hours",1h 9m,https://www.monmouthcountyparks.com/page.aspx?Id=2522,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.584,41.255,WARD,Ward Pound Ridge Reservation,914.864.7317,NY,Katonah,51.94,69,"2 hours, 3 hours",1h 9m,Call,,,,,
-73.222,40.825,BLYD,Blydenburgh Park,631.854.3712,NY,Smithtown,48.07,71,"2 hours, 3 hours",1h 11m,https://www.suffolkcountyny.gov/Departments/Parks/Our-Parks/Blydenburgh-County-Park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.81,40.872,STEP,Stephens State Park,908.852.3790,NJ,Hackettstown,52.68,73,"2 hours, 3 hours",1h 13m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=13,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.569,41.309,MOUL,Mountain Lakes Park,914.864.7312,NY,North Salem,55.93,75,"2 hours, 3 hours",1h 15m,Call,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>",
-73.991,40.45,SANH,Sandy Hook - Gateway National Recreation Area,718.354.4655,NJ,Highlands,54.16,77,"2 hours, 3 hours",1h 17m,https://www.recreation.gov/camping/campgrounds/234714,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",
-74.131,40.162,ALLA,Allaire State Park,732.938.2371,NJ,Farmingdale,59.51,80,"2 hours, 3 hours",1h 20m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=2,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.915,40.917,JENN,Jenny Jump State Forest,908.459.4366,NJ,Blairstown,57.17,81,"2 hours, 3 hours",1h 21m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=8,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
