longitude,latitude,code,name,phone,state,city,milesNyc,minNyc,hrNyc,timeNyc,URL,shower,showerIcon,pets,petsIcon,filters,filtersShowers,filtersPets
-74.059,40.605,FORW,Staten Island - Gateway National Recreation Area,8.354.4655,NY,Staten Island,1 hour2.47,22,"1 hour, 2 hours, 3 hours",22 min,https://www.recreation.gov/camping/campgrounds/234715,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-73.889,40.582,FLOB,Brooklyn - Gateway National Recreation Area,718.354.4655,NY,Brooklyn,11.79,26,"1 hour, 2 hours, 3 hours",26 min,https://www.recreation.gov/camping/campgrounds/233309,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-74.887,40.696,VOOR,Voorhees State Park,908.638.6969,NJ,Glen Gardner,32.57,49,"1 hour, 2 hours, 3 hours",49 min,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=16,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-74.266,40.446,CHEE,Cheesequake State Park,732.566.2161,NJ,South Amboy,36.17,52,"1 hour, 2 hours, 3 hours",52 min,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=6,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-74.07,41.229,BEVP,Beaver Pond Campgrounds - Harriman State Park,845.947.2792,NY,Stony Point,37.6,52,"1 hour, 2 hours, 3 hours",52 min,https://newyorkstateparks.reserveamerica.com/camping/beaverpondcampsite/r/campgroundDetails.do?contractCode=NY&parkId=392,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-73.896,41.178,CROT,Croton Point Park,,NY,Croton-on-Huds,40.06,56,"1 hour, 2 hours, 3 hours",56 min,https://parks.westchestergov.com/croton-point-park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-73.449,40.762,BATT,Battle Row Campground,516.572.8690,NY,Old Bethpage,34.83,57,"1 hour, 2 hours, 3 hours",57 min,https://www.nassaucountyny.gov/2811/Battle-Row-Campground,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-74.59,41.002,MAHL,Mahlon Dickerson Reservation,973.697.3140,NJ,Lake Hopatcong,42.4,60,"1 hour, 2 hours, 3 hours",1  hr,https://www.morrisparks.net/index.php/parks/mahlon-dickerson-reservation,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-74.939,40.663,SPRU,Spruce Run Recreation Area,908.638.8572,NJ,Clinton,52.59,66,"2 hours, 3 hours",1 hr 6 min,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=12,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-74.298,40.197,TURK,Turkey Swamp Park,732.462.7286,NJ,Freehold,51.23,69,"2 hours, 3 hours",1 hr 9 min,https://www.monmouthcountyparks.com/page.aspx?Id=2522,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
